HUC8,NAME,AREA_KM2,SLOPE_DEGREES,SOIL_A_PERCENT,SOIL_B_PERCENT,SOIL_C_PERCENT,SOIL_D_PERCENT,SOIL_A_D_PERCENT,SOIL_B_D_PERCENT,SOIL_C_D_PERCENT,LC_UNCLASSIFIED_PERCENT,LC_OPEN_WATER_PERCENT,LC_DEVELOPED_OPEN_SPACE_PERCENT,LC_DEVELOPED_LOW_INTENSITY_PERCENT,LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT,LC_DEVELOPED_HIGH_INTENSITY_PERCENT,LC_BARREN_LAND_PERCENT,LC_DECIDUOUS_FOREST_PERCENT,LC_EVERGREEN_FOREST_PERCENT,LC_MIXED_FOREST_PERCENT,LC_SHRUB_PERCENT,LC_HERBACEOUS_PERCENT,LC_HAY_PASTURE_PERCENT,LC_CULTIVATED_CROPS_PERCENT,LC_WOODY_WETLANDS_PERCENT,LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT,KARST_PERCENT,IGNEOUS_INTRUSIVE_PERCENT,SEDIMENTARY_CLASTIC_PERCENT,METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,METAMORPHIC_SCHIST_PERCENT,SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_VOLCANIC_PERCENT,METAMORPHIC_UNDIFFERENTIATED_PERCENT,UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT,IGNEOUS_UNDIFFERENTIATED_PERCENT,METAMORPHIC_GNEISS_PERCENT,METAMORPHIC_VOLCANIC_PERCENT,METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT,ASPECT_FLAT_PERCENT,ASPECT_NORTH_PERCENT,ASPECT_SOUTH_PERCENT
15020004,Zuni,1801.7399,2.2913,0.3189,0.6652,0.1617,0.0827,0,0,0,0,0,0.0026,0.0005,0.0001,0,0.007,0,0.0333,0,0.8434,0.1113,0,0,0.0011,0.0008,0.8655,0,0.7931,0,0,0,0,0.0069,0,0.1996,0,0,0,0,0,0.4085,0.5905
15020005,Silver,2456.7989,3.1726,0.034,0.5882,0.2705,0.4941,0,0,0,0,0.0016,0.0307,0.0095,0.0054,0.0011,0.0002,0,0.3298,0,0.547,0.0685,0.0047,0,0.0009,0.0005,0.8472,0,0.5279,0,0,0,0.1204,0.3517,0,0,0,0,0,0,0.007,0.6185,0.3745
15020006,Upper Puerco,1430.8902,4.7194,0.1102,0.3338,0.2802,0.7331,0,0,0,0,0.0002,0.0128,0.005,0.002,0.0003,0.0002,0,0.5351,0,0.4377,0.0061,0,0,0.0007,0,0.3609,0.0004,0.6533,0,0,0,0.3131,0,0,0.0226,0.0101,0,0,0,0,0.4155,0.5824
15020007,Lower Puerco,2889.6944,2.4387,0.3543,0.432,0.2239,0.1373,0,0,0,0,0,0.0057,0.003,0.0021,0.0002,0.0278,0,0.0234,0,0.7645,0.1724,0,0,0.0008,0.0001,0.7401,0,0.7636,0,0,0,0.0048,0,0,0.2315,0,0,0,0,0.0007,0.4848,0.5145
15020008,Middle Little Colorado,6539.4369,3.0093,0.0668,0.1878,0.3802,0.7532,0,0.0026,0.0003,0,0.0007,0.0066,0.0031,0.0021,0.0003,0.02,0,0.1577,0,0.5159,0.2782,0.0003,0,0.0117,0.0032,0.7797,0,0.4534,0,0,0,0.3547,0.0575,0,0.1344,0,0,0,0,0.0155,0.6207,0.3638
15020009,Leroux Wash,2106.6499,2.7546,0.4072,0.3588,0.1701,0.3827,0,0.0001,0,0,0,0.0043,0.0004,0.0002,0.0001,0.014,0,0.2361,0,0.5902,0.1539,0,0,0.0004,0.0004,0.6183,0,0.7055,0,0,0,0.2042,0,0,0.0904,0,0,0,0,0.0012,0.4322,0.5666
15020010,Chevelon Canyon,2123.643,4.7055,0.0319,0.7447,0.09,0.521,0,0.0005,0.0002,0,0.0007,0.0123,0.001,0.0005,0.0001,0.0025,0,0.3953,0,0.4489,0.137,0,0,0.0014,0.0003,0.9547,0,0.1167,0,0,0,0.8738,0,0,0.0095,0,0,0,0,0.0009,0.6474,0.3517
15020011,Cottonwood Wash,4342.5,3.5611,0.4891,0.4695,0.1161,0.3548,0,0,0,0,0.0002,0.0059,0.0013,0.0005,0,0.0085,0,0.1488,0,0.6872,0.1467,0,0,0.0006,0.0003,0.2315,0,0.7742,0,0,0,0.0746,0.0647,0,0.0866,0,0,0,0,0.0017,0.4509,0.5474
15020012,Corn-Oraibi,1895.5625,6.1119,0.3478,0.0939,0.6031,0.3804,0,0,0,0,0,0.0027,0.0014,0.0003,0,0.0004,0,0.1746,0,0.6388,0.1773,0,0,0.0031,0.0015,0.0697,0,0.2922,0,0,0,0.5907,0,0,0.117,0,0,0,0,0.003,0.4537,0.5433
15020013,Polacca Wash,2994.4923,4.3276,0.3444,0.2908,0.5214,0.2791,0,0,0,0,0,0.0039,0.001,0.0005,0,0.0001,0,0.1144,0,0.7558,0.1193,0,0,0.0039,0.0009,0.0686,0,0.4413,0,0,0,0.4141,0,0,0.1445,0,0,0,0,0.0029,0.4622,0.5349
